submission_id,ID,QUD,RT,block,competence,condition,critical_question,exp_condition,experiment_id,main_type,prior,prompt,question,relevance,response,test_question,title,trial_name,trial_number,attention_prop,passed_attention_check
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,31194,test_question1,0,test,NA,llh,73,xor,1,<b>Kira and Greg know each other.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,74,test_true2,Greg's movie,main_trials,1,1,TRUE
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,71525,pri,0,critical,NA,llh,73,xor,1,"<b>If Greg has already seen the first Star Wars movie, it is likely that he has seen the second Star Wars movie as well.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,67,no,Greg's movie,main_trials,2,1,TRUE
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,9346,pri,0,critical,NA,llh,73,xor,1,"<b>If Greg has already seen the second Star Wars movie, it is likely that he has already seen the first Star Wars movie as well.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,100,no,Greg's movie,main_trials,3,1,TRUE
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,15852,rel,0,critical,NA,llh,73,xor,1,<b>It is important for Kira’s mother to know whether Greg has already seen both the first and the second Star Wars movie.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,24,no,Greg's movie,main_trials,4,1,TRUE
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,10954,comp,0,critical,NA,llh,73,xor,1,<b>Kira knows whether Greg has already seen both the first and the second Star Wars movies.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,68,no,Greg's movie,main_trials,5,1,TRUE
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,6762,test_question2,0,test,NA,llh,73,xor,1,<b>Greg and Kira are colleagues at work.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,0,test_false2,Greg's movie,main_trials,6,1,TRUE
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,7602,test_question3,0,test,NA,llh,73,xor,1,<b>Greg and Kira took midterm exams last week.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,79,test_uncertain1,Greg's movie,main_trials,7,1,TRUE
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,9680,test_question4,0,test,NA,llh,73,xor,1,<b>Greg likes movies.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,100,test_true1,Greg's movie,main_trials,8,1,TRUE
2354,7,Greg is a huge Star Wars fan. A couple of months ago two new Star Wars movies were released. Kira goes to the same school as Greg.,22227,xor,0,critical,<b>Kira tells her mother: ‘Greg already saw the first or the second Star Wars movie.’</b>,llh,73,xor,1,<b>From what Kira said we may conclude that Greg has not already seen both the first and the second Star Wars movie.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",0,14,no,Greg's movie,main_trials,9,1,TRUE
2354,NA,Edward is in a crowded bar IDing the patrons who are drinking alcohol. There are new laws and if there is even one incident of underage drinking today Edward will close down the bar. Please move the slider all the way to the right. He talks to the owner of the bar later that night.,243811,attention_check,NA,attention_check,NA,NA,73,NA,NA,<b>Five people were drinking beer at the bar.</b>,"<font size=""3""> How likely is it that the statement is true given the story?</font>",NA,100,NA,Underage drinking,main_trials,10,1,TRUE
