submission_id,ID,QUD,RT,age,block,botresponse,comments,competence,condition,critical_question,education,endTime,exp_condition,experiment_id,gender,languages,main_type,optionLeft,optionRight,prior,prompt,question,relevance,response,startDate,startTime,test_question,timeSpent,title,trial_name,trial_number
2118,NA,"<br /> Joe went shopping yesterday, while his wife Sue was at home with the kids. He bought flowers for his wife on the way home.",23170,36,practice,Susan,NA,NA,example,NA,Graduated College,1626778309667,NA,63,female,english,NA,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",NA,Joe went shopping without his wife Sue.,"<font size=""3""> How likely is it that the statement is true given the story?</font> <br/> <br/> <i> <font color=""8B0000"">The story implies this statement, so you should rate it as certainly true.</i> </font>",NA,100,Tue Jul 20 2021 11:30:43 GMT+0100 (British Summer Time),1626777043787,NA,21.098,"<font size=""4"" color= ""#00BFFF""> EXAMPLE </font> <br/> Joe's shopping",example,1
2118,NA,"<br /> Joe went shopping yesterday, while his wife Sue was at home with the kids. He bought flowers for his wife on the way home.",20353,36,practice,Susan,NA,NA,example,NA,Graduated College,1626778309667,NA,63,female,english,NA,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",NA,Joe and Sue have no children.,"<font size=""3""> How likely is it that the statement in the blue box is true given the story?</font> <br/> <br/> <i> <font color=""8B0000"">The story implies the contrary, so you should rate this as certainly false.</i></font>",NA,5,Tue Jul 20 2021 11:30:43 GMT+0100 (British Summer Time),1626777043787,NA,21.098,"<font size=""4"" color= ""#00BFFF""> EXAMPLE </font> <br/> Joe's shopping",example,2
2118,NA,"<br /> Joe went shopping yesterday, while his wife Sue was at home with the kids. He bought flowers for his wife on the way home.",14194,36,practice,Susan,NA,NA,example,NA,Graduated College,1626778309667,NA,63,female,english,NA,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",NA,Sue was very happy with the flowers.,"<font size=""3""> How likely is it that the statement is true given the story?</font> <br/> <br/> <i> <font color=""8B0000"">The story makes this rather likely, but we cannot be sure, so you might want to rate this somewhere in between certainly false and certainly true.</i></font>",NA,69,Tue Jul 20 2021 11:30:43 GMT+0100 (British Summer Time),1626777043787,NA,21.098,"<font size=""4"" color= ""#00BFFF""> EXAMPLE </font> <br/> Joe's shopping",example,3
2118,NA,"<br /> Joe went shopping yesterday, while his wife Sue was at home with the kids. He bought flowers for his wife on the way home.",33999,36,practice,Susan,NA,NA,example,Joe says to his wife the next day: 'The stores were really crowded yesterday.',Graduated College,1626778309667,NA,63,female,english,NA,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",NA,Joe had to wait in line at the check-out at some stores he went to yesterday.,"<font size=""3""> How likely is it that the statement in the blue box is true given the story?</font> <br/> <br/> <i> <font color=""8B0000"">The story and the utterance imply that there might have been a line at the check-out at the stores, so you should rate this as rather true, although we cannot know for sure.</i></font>",NA,88,Tue Jul 20 2021 11:30:43 GMT+0100 (British Summer Time),1626777043787,NA,21.098,"<font size=""4"" color= ""#00BFFF""> EXAMPLE </font> <br/> Joe's shopping",example,4
2118,21,"Ethan is a straight-A student. He wants to go to Harvard so he had to do well on his exams he took a while ago. He is very confident about the exams. Today the results of the exams were announced, but Ethan missed school. He talks to his friend Eleanor who was in school today. Eleanor just heard rumors from her fellow students about his results.",120928,36,test_question1,Susan,NA,0,test,NA,Graduated College,1626778309667,hlh,63,female,english,some,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",1,<b>Eleanor and Ethan go to the same school.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,64,Tue Jul 20 2021 11:30:43 GMT+0100 (British Summer Time),1626777043787,test_true1,21.098,Harvard admission exams,xor_question,1
2118,21,"Ethan is a straight-A student. He wants to go to Harvard so he had to do well on his exams he took a while ago. He is very confident about the exams. Today the results of the exams were announced, but Ethan missed school. He talks to his friend Eleanor who was in school today. Eleanor just heard rumors from her fellow students about his results.",34789,36,pri,Susan,NA,0,critical,NA,Graduated College,1626778309667,hlh,63,female,english,some,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",1,"<b>If Ethan passed at least some of the exams, then he passed all of the exams.</b>","<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,49,Tue Jul 20 2021 11:30:43 GMT+0100 (British Summer Time),1626777043787,no,21.098,Harvard admission exams,xor_question,2
2118,21,"Ethan is a straight-A student. He wants to go to Harvard so he had to do well on his exams he took a while ago. He is very confident about the exams. Today the results of the exams were announced, but Ethan missed school. He talks to his friend Eleanor who was in school today. Eleanor just heard rumors from her fellow students about his results.",28866,36,rel,Susan,NA,0,critical,NA,Graduated College,1626778309667,hlh,63,female,english,some,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",1,<b>It is important for Ethan to know whether he passed all of the exams.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,100,Tue Jul 20 2021 11:30:43 GMT+0100 (British Summer Time),1626777043787,no,21.098,Harvard admission exams,xor_question,3
2118,21,"Ethan is a straight-A student. He wants to go to Harvard so he had to do well on his exams he took a while ago. He is very confident about the exams. Today the results of the exams were announced, but Ethan missed school. He talks to his friend Eleanor who was in school today. Eleanor just heard rumors from her fellow students about his results.",14243,36,comp,Susan,NA,0,critical,NA,Graduated College,1626778309667,hlh,63,female,english,some,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",1,<b>Eleanor knows whether Ethan passed all of the exams.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,7,Tue Jul 20 2021 11:30:43 GMT+0100 (British Summer Time),1626777043787,no,21.098,Harvard admission exams,xor_question,4
2118,21,"Ethan is a straight-A student. He wants to go to Harvard so he had to do well on his exams he took a while ago. He is very confident about the exams. Today the results of the exams were announced, but Ethan missed school. He talks to his friend Eleanor who was in school today. Eleanor just heard rumors from her fellow students about his results.",15681,36,test_question2,Susan,NA,0,test,NA,Graduated College,1626778309667,hlh,63,female,english,some,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",1,<b>Ethan doesn’t care about his exam results.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,15,Tue Jul 20 2021 11:30:43 GMT+0100 (British Summer Time),1626777043787,test_false2,21.098,Harvard admission exams,xor_question,5
2118,21,"Ethan is a straight-A student. He wants to go to Harvard so he had to do well on his exams he took a while ago. He is very confident about the exams. Today the results of the exams were announced, but Ethan missed school. He talks to his friend Eleanor who was in school today. Eleanor just heard rumors from her fellow students about his results.",11002,36,test_question3,Susan,NA,0,test,NA,Graduated College,1626778309667,hlh,63,female,english,some,"<p style=""font-family: sans-serif"">certainly false</p>","<p style=""font-family: sans-serif"">certainly true</p>",1,<b>Eleanor passed some of her exams.</b>,"<font size=""3"">How likely is it that the statement in the blue box is true given the story?</font>",1,50,Tue Jul 20 2021 11:30:43 GMT+0100 (British Summer Time),1626777043787,test_uncertain2,21.098,Harvard admission exams,xor_question,6
